mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position
0.001,0,0.2,6,27,0.5273123250174883,2.6328112649760262,52.08799808622097
0.001,0,0.2,6,28,0.5273123250174883,2.6328112649760262,49.30155042728508
0.001,0,0.2,6,29,0.5273123250174883,2.6328112649760262,79.3589064684768
0.001,0,0.2,6,30,0.5273123250174883,2.6328112649760262,90.66438206555941
0.001,0,0.2,6,31,0.5273123250174883,2.6328112649760262,84.60365947110907
0.001,0,0.2,6,32,0.5273123250174883,2.6328112649760262,57.1154324217767
0.001,0,0.2,6,33,0.5273123250174883,2.6328112649760262,83.44568054003028
0.001,0,0.2,6,34,0.5273123250174883,2.6328112649760262,71.28167413455978
0.001,0,0.2,6,35,0.5273123250174883,2.6328112649760262,91.80090971498706
0.001,0,0.2,6,36,0.5273123250174883,2.6328112649760262,55.75765961929277
0.001,0,0.2,6,37,0.5273123250174883,2.6328112649760262,70.06353237349771
0.001,0,0.2,6,38,0.5273123250174883,2.6328112649760262,106.08585973642126
0.001,0,0.2,6,39,0.5273123250174883,2.6328112649760262,54.10897536985392
0.001,0,0.2,6,40,0.5273123250174883,2.6328112649760262,61.599822576876534
0.001,0,0.2,6,41,0.5273123250174883,2.6328112649760262,118.59255614729317
0.001,0,0.2,6,42,0.5273123250174883,2.6328112649760262,109.96615104356668
0.001,0,0.2,6,43,0.5273123250174883,2.6328112649760262,53.93463430608121
0.001,0,0.2,6,44,0.5273123250174883,2.6328112649760262,88.99084387591944
0.001,0,0.2,6,45,0.5273123250174883,2.6328112649760262,72.4516910883722
0.001,0,0.2,6,46,0.5273123250174883,2.6328112649760262,95.01203271873355
0.001,0,0.2,6,47,0.5273123250174883,2.6328112649760262,54.94142854141507
0.001,0,0.2,6,48,0.5273123250174883,2.6328112649760262,58.17161957727819
0.001,0,0.2,6,49,0.5273123250174883,2.6328112649760262,85.40817950437068
0.001,0,0.2,6,50,0.5273123250174883,2.6328112649760262,88.66774907601466
0.001,0,0.2,6,51,0.5273123250174883,2.6328112649760262,95.6616374184248
0.001,0,0.2,6,52,0.5273123250174883,2.6328112649760262,51.680603268383564
0.001,0,0.2,6,53,0.5273123250174883,2.6328112649760262,102.55576229888808
0.001,0,0.2,6,54,0.5273123250174883,2.6328112649760262,82.57108195009967
0.001,0,0.2,6,55,0.5273123250174883,2.6328112649760262,72.39117075902075
0.001,0,0.2,6,56,0.5273123250174883,2.6328112649760262,73.58777301743343
0.001,0,0.2,6,57,0.5273123250174883,2.6328112649760262,112.17694898666281
0.001,0,0.2,6,58,0.5273123250174883,2.6328112649760262,59.83445650736262
0.001,0,0.2,6,59,0.5273123250174883,2.6328112649760262,57.85608280814483
0.001,0,0.2,6,60,0.5273123250174883,2.6328112649760262,62.69829758976651
0.001,0,0.2,6,61,0.5273123250174883,2.6328112649760262,52.28195388848787
0.001,0,0.2,6,62,0.5273123250174883,2.6328112649760262,88.07154798248199
0.001,0,0.2,6,63,0.5273123250174883,2.6328112649760262,58.52773628794761
0.001,0,0.2,6,64,0.5273123250174883,2.6328112649760262,63.49991776714551
0.001,0,0.2,6,65,0.5273123250174883,2.6328112649760262,91.51667806254974
0.001,0,0.2,6,66,0.5273123250174883,2.6328112649760262,78.08332949882816
0.001,0,0.2,6,67,0.5273123250174883,2.6328112649760262,78.52721148840838
0.001,0,0.2,6,68,0.5273123250174883,2.6328112649760262,54.270095050310275
0.001,0,0.2,6,69,0.892569171867339,2.6328112649760262,100.86240495749307
0.001,0,0.2,6,70,0.5273123250174883,2.6328112649760262,66.28081255364899
0.001,0,0.2,6,71,0.5273123250174883,2.6328112649760262,87.35859362660017
0.001,0,0.2,6,72,0.5273123250174883,2.6328112649760262,55.851664635708865
0.001,0,0.2,6,73,0.5273123250174883,2.6328112649760262,84.60365947110907
0.001,0,0.2,6,74,0.5273123250174883,2.6328112649760262,89.71534043245578
0.001,0,0.2,6,75,0.5273123250174883,2.6328112649760262,60.220657866995516
0.001,0,0.2,6,76,0.5273123250174883,2.6328112649760262,90.78728215458882
0.001,0,0.2,6,77,0.5273123250174883,2.6328112649760262,71.3732222605536
0.001,0,0.2,6,78,0.5273123250174883,2.6328112649760262,94.27381152066661
0.001,0,0.2,6,79,0.5273123250174883,2.6328112649760262,122.66137374159085
